Spice,Cuisine,Origin
Adobo,Filipino,Philippines
Adobo,Latin American,Philippines
Adobo,South American,Philippines
Adobo,Mexican,Philippines
Adobo,Spanish,Philippines
Aji Panca Chiles,Asian,Peru
Aji Panca Chiles,Cajun,Peru
Aji Panca Chiles,Caribbean,Peru
Aji Panca Chiles,Chinese,Peru
Aji Panca Chiles,Indian,Peru
Aji Panca Chiles,Latin American,Peru
Aji Panca Chiles,Mexican,Peru
Aji Panca Chiles,Pakistani,Peru
Aji Panca Chiles,Southwestern American,Peru
Aji Panca Chiles,Thai,Peru
"Aleppo Pepper, Mediterranean",Mediterranean,Turkey
"Aleppo Pepper, Mediterranean",Middle Eastern,Turkey
"Aleppo Pepper, Mediterranean",Moroccan,Turkey
"Aleppo Pepper, Mediterranean",Turkish,Turkey
Ancho Chile ,Cajun,Mexico
Ancho Chile ,Caribbean ,Mexico
Ancho Chile ,Latin American,Mexico
Ancho Chile ,Mexican,Mexico
Ancho Chile ,Southwestern American,Mexico
Annatto ,Caribbean,Latin American
Annatto ,Latin American,Latin American
Annatto ,Mexican,Latin American
Assam,Indian,India
Aji Amarillo Chile ,Asian,Peru
Aji Amarillo Chile ,Cajun,Peru
Aji Amarillo Chile ,Caribbean,Peru
Aji Amarillo Chile,Chinese,Peru
Aji Amarillo Chile ,Indian,Peru
Aji Amarillo Chile ,Latin American,Peru
Aji Amarillo Chile ,Mexican,Peru
Aji Amarillo Chile ,Pakistani,Peru
Aji Amarillo Chile ,Southwestern American,Peru
Aji Amarillo Chile ,Thai,Peru
Allspice ,Caribbean,Jamaica
Allspice ,English,Jamaica
Allspice ,European,Jamaica
Allspice ,Indian,Jamaica
Allspice ,Jamaican,Jamaica
Allspice ,Mediterranean,Jamaica
Allspice ,Mexican,Jamaica
Allspice ,Middle Eastern,Jamaica
Allspice ,Canadian,Jamaica
Allspice ,American,Jamaica
Allspice ,Caribbean ,Jamaica
Aji Paprika Chiles,Asian,Peru
Aji Paprika Chiles,Cajun,Peru
Aji Paprika Chiles,Caribbean,Peru
Aji Paprika Chiles,Chinese,Peru
Aji Paprika Chiles,Indian,Peru
Aji Paprika Chiles,Latin American,Peru
Aji Paprika Chiles,Mexican,Peru
Aji Paprika Chiles,Pakistani,Peru
Aji Paprika Chiles,Southwestern American,Peru
Aji Paprika Chiles,Thai,Peru
Ancho Chile Peppers,Cajun,Mexico
Ancho Chile Peppers,Caribbean,Mexico
Ancho Chile Peppers,Latin American,Mexico
Ancho Chile Peppers,Mexican,Mexico
Ancho Chile Peppers,Southwestern American,Mexico
Anise Seed,Chinese,Mediterranean
Anise Seed,French,Mediterranean
Anise Seed,Indonesian,Mediterranean
Anise Seed,Mediterranean,Mediterranean
Anise Seed,Moroccan,Mediterranean
Arrowroot,American,Indonesia
Arrowroot,Caribbean,Indonesia
Arrowroot,South American,Indonesia
Basil,Asian,India
Basil,Cambodian,India
Basil,Italian,India
Basil,Mediterranean,India
Basil,Thai,India
Basil,Vietnamese,India
BBG Seasoning,American,United States of America
BBG Seasoning,Southwestern American,United States of America
